time,Think_1,Think_2,Think_3,Think_4,Think_5,Hungry_1,Hungry_2,Hungry_3,Hungry_4,Hungry_5,Eat_1,Eat_2,Eat_3,Eat_4,Eat_5,Fork_1,Fork_2,Fork_3,Fork_4,Fork_5
26.4,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
26.6,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
26.8,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
27.0,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
27.2,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
27.4,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
27.6,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
27.8,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
28.0,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
28.2,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
28.4,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
28.6,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
28.8,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
29.0,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
29.2,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
29.4,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
29.6,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
29.8,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
30.0,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
30.2,0.98,0.98,0.98,0.98,0.98,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.98,0.98,0.98,0.98
