time,S,I,R
18.500082249446223,545,260,195
18.502632846253185,544,261,195
18.530984477163027,543,262,195
18.532883170731342,542,263,195
18.538284696832147,541,264,195
18.55046032509052,541,263,196
18.56247680572706,541,262,197
18.566932845723365,540,263,197
18.57096885260599,540,262,198
18.582939602479048,539,263,198
18.587023104758032,538,264,198
18.611654123663364,537,265,198
18.616065656390262,537,264,199
18.640922525145605,536,265,199
18.692767045897714,536,264,200
18.707518252217906,535,265,200
18.725151146041235,535,264,201
18.72528900512466,535,263,202
18.728385051421473,534,264,202
18.730773269771205,533,265,202
18.761070671998564,532,266,202
18.76787096630172,532,265,203
18.77611477792237,532,264,204
18.781476533696722,531,265,204
18.802235938143518,530,266,204
18.820677764590755,529,267,204
18.845045632936706,528,268,204
18.858192469864022,527,269,204
18.86338200072466,527,268,205
18.87591187487914,527,267,206
18.90670555298435,527,266,207
18.91842414859052,527,265,208
18.934231044184283,526,266,208
18.937862551453257,525,267,208
18.951771131752572,525,266,209
18.959392951375353,525,265,210
18.963563829279074,524,266,210
18.990236220783025,523,267,210
18.99795264321754,523,266,211
19.030643543546844,522,267,211
19.032949900977094,522,266,212
19.05591447919694,522,265,213
19.0703198761257,522,264,214
19.08118496887496,521,265,214
19.085365539276367,520,266,214
19.119769961732526,519,267,214
19.123765577068433,519,266,215
19.136818071484086,518,267,215
19.137252087856414,518,266,216
19.13956092378174,517,267,216
19.141199877271056,516,268,216
19.18212738596493,516,267,217
19.20493463143297,516,266,218
19.225191937419236,515,267,218
19.225707151992808,514,268,218
19.232115482439113,514,267,219
19.24898515825618,513,268,219
19.26391947140379,513,267,220
19.267343615190846,513,266,221
19.269145259778668,512,267,221
19.293312179613448,512,266,222
19.302979576564894,511,267,222
19.34647719952483,511,266,223
19.373535041762224,510,267,223
19.389595025893556,510,266,224
19.392005795627856,510,265,225
19.399374025136975,509,266,225
19.407448482742968,508,267,225
19.418961765234997,507,268,225
19.441782154338057,506,269,225
19.446162189546307,505,270,225
19.45573041602392,505,269,226
19.464913313751357,504,270,226
19.471817711105906,503,271,226
19.494912876663786,502,272,226
19.504424977787604,502,271,227
19.515988411729726,502,270,228
19.519880524511716,501,271,228
19.53382357986691,500,272,228
19.53991437972007,499,273,228
19.549690134317977,499,272,229
19.55245510000677,498,273,229
19.55439340841685,497,274,229
19.56501099946737,496,275,229
19.57871183426278,495,276,229
19.594642711588715,495,275,230
19.603849013098223,494,276,230
19.625580547033668,494,275,231
19.660539360240584,493,276,231
19.67370853059974,492,277,231
19.675408116306844,491,278,231
19.706870848151556,491,277,232
19.78243921216028,491,276,233
19.786435239137518,491,275,234
19.798122104884133,490,276,234
19.831936139425885,489,277,234
19.841158221598732,488,278,234
19.84489701539329,487,279,234
19.85968426653858,486,280,234
19.861062436400644,486,279,235
19.88016421774937,485,280,235
19.88389826394002,484,281,235
19.976323903823392,483,282,235
19.981728858130708,482,283,235
19.9953547584933,482,282,236
20.014550699435567,481,283,236
20.020739127612785,481,282,237
20.02683416631465,480,283,237
20.039913948484294,479,284,237
20.04924566257697,478,285,237
20.059547907367403,478,284,238
20.102586069595084,477,285,238
20.106491384212365,476,286,238
20.122275622224333,476,285,239
20.123909468218628,476,284,240
20.12885967633025,475,285,240
20.148896857069026,474,286,240
20.15285844855951,474,285,241
20.170008734910233,473,286,241
20.21072886718383,472,287,241
20.228699771348452,472,286,242
20.2357285394539,471,287,242
20.2506409203616,470,288,242
20.26315161411519,469,289,242
20.31224550288617,469,288,243
20.35796247511869,468,289,243
20.367252563132464,467,290,243
20.369429626889477,467,289,244
20.37800624571055,466,290,244
20.416176309461076,466,289,245
20.431106955637482,466,288,246
20.4431367778589,465,289,246
20.458960812959408,464,290,246
20.459847642545036,463,291,246
20.460703434711863,462,292,246
20.480858661535365,461,293,246
20.49530615101338,461,292,247
20.507402835223253,460,293,247
20.519891750865785,459,294,247
20.540988190657277,459,293,248
20.541706913286014,459,292,249
20.54410950196495,459,291,250
20.58120372100616,459,290,251
20.600357983320613,458,291,251
20.6761028343933,458,290,252
20.690855382962702,457,291,252
20.694155163904753,457,290,253
20.69625788410508,456,291,253
20.703676771662344,456,290,254
20.724894614562338,456,289,255
20.76196749023653,455,290,255
20.763019397932343,454,291,255
20.77455969990457,454,290,256
20.79565266096731,453,291,256
20.80986495090687,452,292,256
20.851023077289426,451,293,256
20.851625745347395,450,294,256
20.85371934272572,449,295,256
20.869677949535376,449,294,257
20.874765369748868,449,293,258
20.901048723800127,448,294,258
20.903867383704856,448,293,259
20.913355623695605,448,292,260
20.978906174487335,447,293,260
20.982131685763342,446,294,260
20.99522476649663,445,295,260
20.995785405580122,444,296,260
21.012905251361456,443,297,260
21.02243556190942,442,298,260
21.03284886542941,441,299,260
21.03710284408965,440,300,260
21.074404914532767,439,301,260
21.078064900313105,439,300,261
21.10016126820404,439,299,262
21.14110780812252,438,300,262
21.164819930669385,438,299,263
21.183304088645404,438,298,264
21.23008991796917,438,297,265
21.230846555688164,437,298,265
21.254243497013885,437,297,266
21.25659304346748,436,298,266
21.26975010014991,436,297,267
21.291551233456463,436,296,268
21.291884490275642,435,297,268
21.319089856453108,434,298,268
21.348075845703924,434,297,269
21.363807168678477,434,296,270
21.366344661773756,433,297,270
21.373501200531887,432,298,270
21.384514393512053,431,299,270
21.3924506110984,430,300,270
21.41907830258946,430,299,271
21.433958631629253,430,298,272
21.434444350779486,430,297,273
21.43612045048706,429,298,273
21.461552918072336,428,299,273
21.495588256514534,427,300,273
21.49807895258288,427,299,274
21.501748236587407,427,298,275
21.53329244266008,427,297,276
21.542247868360814,426,298,276
21.553795366398525,425,299,276
21.55440911661392,424,300,276
21.562726023524494,423,301,276
21.567800225935834,422,302,276
21.5925189033725,421,303,276
21.634600657153815,421,302,277
21.64112126891094,420,303,277
21.657729082063987,419,304,277
21.713199620922143,419,303,278
21.71427794717983,419,302,279
21.77672217685756,418,303,279
21.786336548096482,418,302,280
21.796908330164392,417,303,280
21.822091419525393,416,304,280
21.856753739698274,415,305,280
21.864025305128457,414,306,280
21.866516170766907,413,307,280
21.867884746858913,412,308,280
21.872730367285595,412,307,281
21.89570167302316,412,306,282
21.904428123205584,411,307,282
21.918946685276232,411,306,283
21.925822599842263,411,305,284
21.953484259072106,411,304,285
21.96443844045082,410,305,285
21.990338005332774,409,306,285
21.99385541224132,408,307,285
22.00408826041113,407,308,285
22.025758712662768,407,307,286
22.027781046437198,406,308,286
22.034435265647897,405,309,286
22.056576089044963,404,310,286
22.064016110060287,404,309,287
22.06640653385574,404,308,288
22.088501390951766,403,309,288
22.093097713916325,402,310,288
22.116592974194745,401,311,288
22.121582764885552,401,310,289
22.133480655665,401,309,290
22.139766909483296,400,310,290
22.153111465300054,399,311,290
22.153857753487518,398,312,290
22.156433209700143,398,311,291
22.165100153842317,397,312,291
22.17995327156858,397,311,292
22.205825187544747,396,312,292
22.22527440004477,395,313,292
22.238522193080662,395,312,293
22.247849294366283,394,313,293
22.251631448988277,393,314,293
22.277872751023782,393,313,294
22.283148605701587,392,314,294
22.28397681866848,392,313,295
22.294591131377704,391,314,295
22.32058985290848,391,313,296
22.32463822182142,390,314,296
22.3449515802817,390,313,297
22.348622936901105,390,312,298
22.420590872471934,389,313,298
22.452830094168664,388,314,298
22.458200129934937,387,315,298
22.461769774748827,387,314,299
22.501538628245747,386,315,299
22.510037231413918,385,316,299
22.529863614623686,385,315,300
22.531483183547497,384,316,300
22.532796230103102,384,315,301
22.540863118292464,384,314,302
22.546464170721382,383,315,302
22.601868344558845,382,316,302
22.607549851934913,382,315,303
22.61380642072031,381,316,303
22.619067710532672,380,317,303
22.6236487089957,380,316,304
22.645805833682825,380,315,305
22.647553825369783,379,316,305
22.64933087521086,379,315,306
22.659135355685482,379,314,307
22.66252254177035,379,313,308
22.666752561014494,378,314,308
22.68718071743897,378,313,309
22.69337953271629,377,314,309
22.73737338922268,377,313,310
22.76815766048344,376,314,310
22.771581622049982,375,315,310
22.774758834863928,374,316,310
22.781582758368064,373,317,310
22.81255068246546,372,318,310
22.817443251222983,371,319,310
22.823903049270413,371,318,311
22.837971314864586,370,319,311
22.84321755202358,370,318,312
22.848496941604925,369,319,312
22.895818624170833,369,318,313
22.913262715216185,368,319,313
22.961171450063386,368,318,314
22.96282772549004,367,319,314
22.96399830486928,366,320,314
22.98835246700437,365,321,314
22.992959895709415,364,322,314
22.99705788528263,363,323,314
23.01008085080697,362,324,314
23.017815056091496,361,325,314
23.02721146544963,360,326,314
23.036225861887118,360,325,315
23.042811047407003,359,326,315
23.06318494379395,359,325,316
23.063993641344233,358,326,316
23.076564529412924,358,325,317
23.089129327454746,357,326,317
23.09901121524913,356,327,317
23.14835142081194,356,326,318
23.172245936228116,355,327,318
23.176169627986592,355,326,319
23.185375373064403,355,325,320
23.191211605129396,354,326,320
23.202093530704804,353,327,320
23.237810710314825,352,328,320
23.238161292311926,351,329,320
23.26777217526336,350,330,320
23.279923845026975,350,329,321
23.28386094386147,349,330,321
23.30318546456175,349,329,322
23.332914937007246,348,330,322
23.351090970114342,347,331,322
23.360947540141606,346,332,322
23.36315405677402,345,333,322
23.372750046014918,344,334,322
23.38852531470015,343,335,322
23.388657389481647,343,334,323
23.42321674290427,342,335,323
23.45376633578479,341,336,323
23.491002355406568,340,337,323
23.50007048326236,339,338,323
